county,precinct,precinct_id
126,101,001-001
126,102,001-002
126,103,001-003
126,104,001-004
126,105,001-005
126,106,001-006
126,107,001-007
126,108,001-008
126,201,002-001
126,202,002-002
126,203,002-003
126,204,002-004
126,205,002-005
126,206,002-006
126,207,002-007
126,208,002-008
126,209,002-009
126,210,002-010
126,301,003-001
126,302,003-002
126,303,003-003
126,304,003-004
126,305,003-005
126,306,003-006
126,307,003-007
126,308,003-008
126,401,004-001
126,501,005-001
126,502,005-002
126,503,005-003
126,504,005-004
126,505,005-005
126,506,005-006
126,507,005-007
126,508,005-008
126,509,005-009
126,510,005-010
126,511,005-011
126,512,005-012
126,601,006-001
126,602,006-002
126,603,006-003
126,604,006-004
126,605,006-005
126,606,006-006
126,607,006-007
126,608,006-008
126,609,006-009
126,610,006-010
126,611,006-011
126,612,006-012
126,613,006-013
126,614,006-014
126,615,006-015
126,616,006-016
126,617,006-017
126,618,006-018
126,619,006-019
126,620,006-020
126,621,006-021
126,622,006-022
126,623,006-023
126,624,006-024
126,625,006-025
126,626,006-026
126,627,006-027
126,628,006-028
126,629,006-029
126,701,007-001
126,702,007-002
126,703,007-003
126,704,007-004
126,705,007-005
126,706,007-006
126,707,007-007
126,708,007-008
126,709,007-009
126,710,007-010
126,711,007-011
126,712,007-012
126,713,007-013
126,714,007-014
126,715,007-015
126,716,007-016
126,717,007-017
126,718,007-018
126,719,007-019
126,720,007-020
126,721,007-021
126,722,007-022
126,723,007-023
126,724,007-024
126,801,008-001
126,901,009-001
126,902,009-002
126,903,009-003
126,904,009-004
126,905,009-005
126,906,009-006
126,907,009-007
126,908,009-008
126,909,009-009
126,910,009-010
126,911,009-011
126,912,009-012
126,913,009-013
126,914,009-014
126,915,009-015
126,1001,010-001
126,1002,010-002
126,1003,010-003
126,1004,010-004
126,1005,010-005
126,1006,010-006
126,1007,010-007
126,1008,010-008
126,1009,010-009
126,1010,010-010
126,1011,010-011
126,1012,010-012
126,1013,010-013
126,1014,010-014
126,1101,011-001
126,1102,011-002
126,1103,011-003
126,1104,011-004
126,1105,011-005
126,1201,012-001
126,1202,012-002
126,1203,012-003
126,1204,012-004
126,1205,012-005
126,1206,012-006
126,1207,012-007
126,1208,012-008
126,1209,012-009
126,1210,012-010
126,1211,012-011
126,1212,012-012
126,1213,012-013
126,1214,012-014
126,1215,012-015
126,1216,012-016
126,1217,012-017
126,1218,012-018
126,1301,013-001
126,1302,013-002
126,1303,013-003
126,1304,013-004
126,1305,013-005
126,1306,013-006
126,1307,013-007
126,1308,013-008
126,1309,013-009
126,1310,013-010
126,1311,013-011
126,1312,013-012
126,1313,013-013
126,1314,013-014
126,1315,013-015
126,1316,013-016
126,1317,013-017
126,1318,013-018
126,1319,013-019
126,1320,013-020
126,1321,013-021
126,1322,013-022
126,1323,013-023
126,1324,013-024
126,1325,013-025
126,1401,014-001
126,1402,014-002
126,1403,014-003
126,1404,014-004
126,1405,014-005
126,1406,014-006
126,1407,014-007
126,1408,014-008
126,1409,014-009
126,1410,014-010
126,1411,014-011
126,1412,014-012
126,1413,014-013
126,1414,014-014
126,1415,014-015
126,1416,014-016
126,1417,014-017
126,1501,015-001
126,1502,015-002
126,1503,015-003
126,1504,015-004
126,1505,015-005
126,1506,015-006
126,1601,016-001
126,1602,016-002
126,1603,016-003
126,1604,016-004
126,1605,016-005
126,1701,017-001
126,1702,017-002
126,1703,017-003
126,1704,017-004
126,1705,017-005
126,1706,017-006
126,1707,017-007
126,1708,017-008
126,1709,017-009
126,1710,017-010
126,1711,017-011
126,1712,017-012
126,1713,017-013
126,1714,017-014
126,1715,017-015
126,1801,018-001
126,1802,018-002
126,1803,018-003
126,1804,018-004
126,1805,018-005
126,1806,018-006
126,1807,018-007
126,1808,018-008
126,1809,018-009
126,1810,018-010
126,1811,018-011
126,1812,018-012
126,1813,018-013
126,1814,018-014
126,1815,018-015
126,1816,018-016
126,1901,019-001
126,1902,019-002
126,1903,019-003
126,1904,019-004
126,1905,019-005
126,2001,020-001
126,2002,020-002
126,2003,020-003
126,2004,020-004
126,2005,020-005
126,2006,020-006
126,2007,020-007
126,2008,020-008
126,2009,020-009
126,2010,020-010
126,2011,020-011
126,2012,020-012
126,2013,020-013
126,2014,020-014
126,2015,020-015
126,2016,020-016
126,2017,020-017
126,2018,020-018
126,2019,020-019
126,2020,020-020
126,2021,020-021
126,2101,021-001
126,2102,021-002
126,2103,021-003
126,2104,021-004
126,2105,021-005
126,2106,021-006
126,2107,021-007
126,2108,021-008
126,2109,021-009
126,2110,021-010
126,2111,021-011
126,2112,021-012
126,2113,021-013
126,2114,021-014
126,2115,021-015
126,2116,021-016
126,2117,021-017
126,2118,021-018
126,2119,021-019
126,6001,
126,6002,
126,6003,
126,6004,
126,6005,
126,6006,
126,6007,
126,6008,
126,7000,
126,7500,
126,8000,